,year,sheet,columns,n_columns
32,2021-2022,ComputerScienceCourseParticipat,"COUNTY_CODE, COUNTY_NAME, Computer Programming, Computing Systems, DISTRICT_CODE, DISTRICT_NAME, Grade, Information Systems, Networking, Other Computer Science, Other IT, Principles of Computer Science, SCHOOL_CODE, SCHOOL_NAME",14
33,2021-2022,SealofBiliteracy,"CountyCode, CountyName, DistrictCode, DistrictName, Language, SchoolCode, SchoolName, SealsEarned",8
34,2021-2022,VisualAndPerformingArts,"AnyVisualPerfArt_School, AnyVisualPerfArt_State, CountyCode, CountyName, Dance_School, Dance_State, DistrictCode, DistrictName, Drama_School, Drama_State, Grades, Music_School, Music_State, SchoolCode, SchoolName, VisArts_School, VisArts_State",17
35,2021-2022,GraduatonRateTrendsProgress,"CohortYear, CountyCode, CountyName, DistrictCode, DistrictName, GraduationRate, GraduationRateType, SchoolCode, SchoolName, StatewideGraduationRate",10
36,2021-2022,4YrGraduationCohortProfile,"Continuing Students, CountyCode, CountyName, DistrictCode, DistrictName, Graduates, Non-Continuing Student, SchoolCode, SchoolName, State: Continuing Students, State: Graduates, State: Non-Continuing Student, StudentGroup",13
37,2021-2022,5YrGraduationCohortProfile,"Continuing Students, CountyCode, CountyName, DistrictCode, DistrictName, Graduates, Non-Continuing Student, SchoolCode, SchoolName, State: Continuing Students, State: Graduates, State: Non-Continuing Student, StudentGroup",13
38,2021-2022,6YrGraduationCohortProfile,"Continuing Students, CountyCode, CountyName, DistrictCode, DistrictName, Graduates, Non-Continuing Student, SchoolCode, SchoolName, State: Continuing Students, State: Graduates, State: Non-Continuing Student, StudentGroup",13
39,2021-2022,FederalGraduationRates,"2021 5-Year Federal Graduation Rate, 2022 4-Year Federal Graduation Rate, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, State: 2021 5-Year Federal Graduation Rate, State: 2022 4-Year Federal Graduation Rate, StudentGroup",11
40,2021-2022,AccountabilityGraduationRates,"Cohort 2020: 5-YearGraduationRate, Cohort 2020: AnnualTarget, Cohort 2020: MetTarget, Cohort 2021: AnnualTarget, Cohort 2021: MetTarget, Cohort 2021:4-YearGraduationRate, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, StudentGroup",13
41,2021-2022,GraduationPathways,"AlternateReqIEP, CountyCode, CountyName, DistrictCode, DistrictName, ELA/Math, PortfolioAppealsProcess, SchoolCode, SchoolName, StatewideAssessment, SubstituteCompetency, Unknown",12
42,2021-2022,DropoutRateTrends,"CountyCode, CountyName, DistrictCode, DistrictName, Dropout_School, Dropout_State, SchoolCode, SchoolName",8
43,2021-2022,PostSecondaryEnrRateSummary,"ClassYear, CountyCode, CountyName, DistrictCode, DistrictName, PercentEnrolledIn2YearInstitution, PercentEnrolledIn4YearInstitution, PercentEnrolledInAnyInstitution, SchoolCode, SchoolName",10
44,2021-2022,PostsecondaryEnrRatesFall,"CountyCode, CountyName, DistrictCode, DistrictName, Enrolled2Yr, Enrolled4Yr, EnrolledPercent, SchoolCode, SchoolName, StudentGroup",10
45,2021-2022,PostsecondaryEnrRates16mos,"CountyCode, CountyName, DistrictCode, DistrictName, Enrolled2Yr, Enrolled4Yr, EnrolledInState, EnrolledOutState, EnrolledPercent, EnrolledPrivate, EnrolledPublic, SchoolCode, SchoolName, StudentGroup",14
46,2021-2022,Apprenticeship,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName",14
47,2021-2022,ChronicAbsenteeism,"Chronic_Abs_Count, Chronic_Abs_Pct, CountyCode, CountyName, DistrictCode, DistrictName, MetTarget, SchoolCode, SchoolName, StudentGroup, Target",11
48,2021-2022,DaysAbsent,"Abs_0, Abs_1-5, Abs_11-15, Abs_6-10, Abs_over15, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName",11
49,2021-2022,ChronicAbsenteeismByGrade,"CountyCode, CountyName, DistrictCode, DistrictName, Grade, SchoolCode, SchoolName, SchoolPercent, StatePercent",9
50,2021-2022,ViolenceVandalismHIBSubstanceOf,"CountyCode, CountyName, DistrictCode, DistrictName, Harassment, Intimidation, Bullying (HIB), Incidents Per 100 Students Enrolled, SchoolCode, SchoolName, Substances, Total Unique Incidents, Vandalism, Violence, Weapons",13
51,2021-2022,HIBInvestigations,"CountyCode, CountyName, DistrictCode, DistrictName, HIBAlleged, HIBConfirmed, HIBNature, SchoolCode, SchoolName, TotalHIBInvestigations",10
52,2021-2022,PoliceNotifications,"CountyCode, CountyName, DistrictCode, DistrictName, Harassment, Intimidation, Bullying (HIB), Other Incidents, SchoolCode, SchoolName, Substances, Vandalism, Violence, Weapons",12
53,2021-2022,DisciplinaryRemovals,"AnySusp_Count, AnySusp_Pct, Arrest_Count, Arrest_Pct, CountyCode, CountyName, DistrictCode, DistrictName, Expulsion_Count, Expulsion_Pct, InSchool_Count, InSchool_Pct, OutofSchool_Count, OutofSchool_Pct, Removal_Count, Removal_Pct, SchoolCode, SchoolDaysMissed_OSS, SchoolName",19
54,2021-2022,SchoolDay,"CountyCode, CountyName, DistrictCode, DistrictName, InstructionFullTime, InstructionSharedTime, LengthOfDay, SchoolCode, SchoolName, TypicalEndTime, TypicalStartTime",11
55,2021-2022,DeviceRatios,"CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, StudentDeviceRatio",7
56,2021-2022,TeachersExperience,"CountyCode, CountyName, DistrictCode, DistrictName, NumberOfOutOfFieldTeachers, NumberOfOutOfFieldTeachers_State, SchoolCode, SchoolName, TeacherAvgYearsExpInDistrict_School, TeacherAvgYearsExpInDistrict_State, TeacherAvgYearsExp_School, TeacherAvgYearsExp_State, TeacherCount_School, TeacherCount_State, TeacherInDistrict4YearsOrMore_School, TeacherInDistrict4YearsOrMore_State",16
57,2021-2022,AdministratorsExperience,"AdminAvgYearsExpInDistrict_District, AdminAvgYearsExpInDistrict_State, AdminAvgYearsExp_District, AdminAvgYearsExp_State, AdminCount_District, AdminCount_State, AdminInDistrict4YearsOrMore_District, AdminInDistrict4YearsOrMore_State, CountyCode, CountyName, DistrictCode, DistrictName",12
58,2021-2022,TeachersAdminsDemographics,"American Indian or Alaska Native, Asian, Black or African American, CountyCode, CountyName, DistrictCode, DistrictName, Female, Hispanic, Male, Native Hawaiian or Pacific Islander, Non-Binary/Undesignated Gender, SchoolCode, SchoolName, Teachers/Admins/Students, Two or More Races, White",17
59,2021-2022,StaffCounts,"CountyCode, CountyName, DistrictCode, DistrictName, District_TotalStaffMembers, SchoolCode, SchoolName, School_TotalStaff, StaffCategory, State_TotalStaffMembers",10
60,2021-2022,StudentToStaffRatios,"CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, School_Psychologists, School_Psychologists_District, School_Safety_Specialists, School_Safety_Specialists_District, School_Social_Workers, School_Social_Workers_District, Student_Admin_District, Student_Admin_School, Student_Assistance_Coordinators, Student_Assistance_Coordinators_District, Student_ChildStudy_District, Student_ChildStudy_School, Student_Counselor_District, Student_Counselor_School, Student_Librarian_District, Student_Librarian_School, Student_Nurse_District, Student_Nurse_School, Student_Teacher_District, Student_Teacher_School, Teacher_Admin_District, Teacher_Admin_School",28
61,2021-2022,TeachersAdminsLevelOfEducation,"Bachelors, CountyCode, CountyName, DistrictCode, DistrictName, Doctoral, Masters, SchoolCode, SchoolName, Teachers/Admins",10
62,2021-2022,TeachersAdminsOneYearRetention,"CountyCode, CountyName, DistrictCode, DistrictName, RetentionPct_District, RetentionPct_State, Teachers/Admins",7
63,2021-2022,TeachersBySubjectArea,"%AmericanIndianOrAlaskaNative, %Asian, %BachelorsDegree, %BlackOrAfricanAmerican, %DoctoralDegree, %Female, %Hispanic, %Male, %MastersDegree, %NativeHawaiianOrPacificIslander, %NonBinaryOrUndesignatedGender, %TwoOrMoreRaces, %White, %With4OrMoreYearsExperienceInDistrict, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, SubjectArea, TotalNumberOfTeachers",22
64,2021-2022,ESSAAccountabilityStatus,"CategoryOfIdentification, CountyCode, CountyName, DistrictCode, DistrictName, Notes, SchoolCode, SchoolName, StatusForSY, StudentGroupStatus_AmericanIndian, StudentGroupStatus_Asian, StudentGroupStatus_Black, StudentGroupStatus_EL, StudentGroupStatus_EconDis, StudentGroupStatus_Hispanic, StudentGroupStatus_SWD, StudentGroupStatus_TwoorMoreRaces, StudentGroupStatus_White, YearEligibleToExitStatus",19
65,2021-2022,ESSAAccountabilityProgress,"4YearGraduationRate, 5YearGraduationRate, ChronicAbsenteeism, CountyCode, CountyName, DistrictCode, DistrictName, ELA Growth, ELAProficiency, Math Growth, MathProficiency, ProgressTowardEnglishLanguageProficiency, SchoolCode, SchoolName, SchoolYear",15
66,2021-2022,AccountabilityIndScoresSummativ,"4-Year Graduation Rate Indicator Score, 4-Year Graduation Rate Indicator Weight, 5-Year Graduation Rate Indicator Score, 5-Year Graduation Rate Indicator Weight, Alternate Methodology Note, Chronic Absenteeism Indicator Score, Chronic Absenteeism Indicator Weight, Comprehensive Support: Low Graduation Rate, Comprehensive Support: Overall Low Performing, CountyCode, CountyName, DistrictCode, DistrictName, ELA Growth Indicator Score, ELA Growth Indicator Weight, ELA Proficiency Indicator Score, ELA Proficiency Indicator Weight, Math Growth Indicator Score, Math Growth Indicator Weight, Math Proficiency Indicator Score, Math Proficiency Indicator Weight, Progress toward English Language Proficiency Indicator Score, Progress toward English Language Proficiency Indicator Weight, SchoolCode, SchoolName, Summative Rating, Summative Score",27
67,2021-2022,AccountabilitySummary,"4-Year Graduation Rate, 5-Year Graduation Rate, Chronic Absenteeism, CountyCode, CountyName, DistrictCode, DistrictName, ELA Growth, ELA Proficiency, Math Growth, Math Proficiency, Progress toward English Language Proficiency, Requires Additional Targeted Support, Requires Targeted Support, SchoolCode, SchoolName, Student Group, Summative Score, Summative Score Cut-off for Additional Targeted Support",19
68,2021-2022,Narrative,"Awards, ClimateNarrative, ClimateSurveyUsed, Clubs, CountyCode, CountyName, Courses, DistrictCode, DistrictName, EarlyChildhood, Facilities, Health, Highlight1, Highlight2, Highlight3, LearningDuringCOVID-19:, Mission, OtherInformation, Parent, Postsecondary, Programs, SchoolCode, SchoolName, SchoolSafety, Sports, SportsNarrative, Staff, Supports, TechnologySTEM, WholsSurveyed",30
