,year,sheet,columns,n_columns
24,2020-2021,ScienceCourseParticipation,"Biology, Chemistry, CountyCode, CountyName, DistrictCode, DistrictName, Earth and Space Science, Environmental Science, Grade, Other Science, Physics, SchoolCode, SchoolName",13
25,2020-2021,SocStudiesHistoryCourseParticip,"CountyCode, CountyName, DistrictCode, DistrictName, Economics, Grade, Other Social Studies or History, Psychology, SchoolCode, SchoolName, Sociology, US History I & II, World History",13
26,2020-2021,WorldLanguagesCourseParticipati,"Chinese, CountyCode, CountyName, DistrictCode, DistrictName, French, German, Grade, Italian, Latin, Other Languages, SchoolCode, SchoolName, Spanish",14
27,2020-2021,ComputerScienceCourseParticipat,"COUNTY_CODE, COUNTY_NAME, Computer Programming, Computing Systems, DISTRICT_CODE, DISTRICT_NAME, Grade, Information Systems, Networking, Other Computer Science, Other IT, Principles of Computer Science, SCHOOL_CODE, SCHOOL_NAME",14
28,2020-2021,SealofBiliteracy,"CountyCode, CountyName, DistrictCode, DistrictName, Language, SchoolCode, SchoolName, SealsEarned",8
29,2020-2021,VisualAndPerformingArts,"AnyVisualPerfArt_School, AnyVisualPerfArt_State, CountyCode, CountyName, Dance_School, Dance_State, DistrictCode, DistrictName, Drama_School, Drama_State, Grades, Music_School, Music_State, SchoolCode, SchoolName, VisArts_School, VisArts_State",17
30,2020-2021,GraduatonRateTrendsProgress,"CohortYear, CountyCode, CountyName, DistrictCode, DistrictName, GraduationRate, GraduationRateType, SchoolCode, SchoolName, StatewideGraduationRate",10
31,2020-2021,4YrGraduationCohortProfile,"Continuing Students, CountyCode, CountyName, DistrictCode, DistrictName, Graduates, Non-Continuing Student, SchoolCode, SchoolName, State: Continuing Students, State: Graduates, State: Non-Continuing Student, StudentGroup",13
32,2020-2021,5YrGraduationCohortProfile,"Continuing Students, CountyCode, CountyName, DistrictCode, DistrictName, Graduates, Non-Continuing Student, SchoolCode, SchoolName, State: Continuing Students, State: Graduates, State: Non-Continuing Student, StudentGroup",13
33,2020-2021,6YrGraduationCohortProfile,"Continuing Students, CountyCode, CountyName, DistrictCode, DistrictName, Graduates, Non-Continuing Student, SchoolCode, SchoolName, State: Continuing Students, State: Graduates, State: Non-Continuing Student, StudentGroup",13
34,2020-2021,FederalGraduationRates,"2020 5-Year Federal Graduation Rate, 2021 4-Year Federal Graduation Rate, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, State: 2020 5-Year Federal Graduation Rate, State: 2021 4-Year Federal Graduation Rate, StudentGroup",11
35,2020-2021,AccountabilityGraduationRates,"Cohort 2019: 5-YearGraduationRate, Cohort 2019: AnnualTarget, Cohort 2019: MetTarget, Cohort 2020: AnnualTarget, Cohort 2020: MetTarget, Cohort 2020:4-YearGraduationRate, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, StudentGroup",13
36,2020-2021,GraduationPathways,"AlternateReqIEP, CountyCode, CountyName, DistrictCode, DistrictName, ELA/Math, PortfolioAppealsProcess, RequirementswaivedunderExecutiveOrder214, SchoolCode, SchoolName, StatewideAssessment, SubstituteCompetency, Unknown",13
37,2020-2021,DropoutRateTrends,"CountyCode, CountyName, DistrictCode, DistrictName, Dropout_School, Dropout_State, SchoolCode, SchoolName",8
38,2020-2021,PostSecondaryEnrRateSummary,"ClassYear, CountyCode, CountyName, DistrictCode, DistrictName, PercentEnrolledIn2YearInstitution, PercentEnrolledIn4YearInstitution, PercentEnrolledInAnyInstitution, SchoolCode, SchoolName",10
39,2020-2021,PostsecondaryEnrRatesFall,"CountyCode, CountyName, DistrictCode, DistrictName, Enrolled2Yr, Enrolled4Yr, EnrolledPercent, SchoolCode, SchoolName, StudentGroup",10
40,2020-2021,PostsecondaryEnrRates16mos,"CountyCode, CountyName, DistrictCode, DistrictName, Enrolled2Yr, Enrolled4Yr, EnrolledInState, EnrolledOutState, EnrolledPercent, EnrolledPrivate, EnrolledPublic, SchoolCode, SchoolName, StudentGroup",14
41,2020-2021,Apprenticeship,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName",14
42,2020-2021,ChronicAbsenteeism,"Chronic_Abs_Count, Chronic_Abs_Pct, CountyCode, CountyName, DistrictCode, DistrictName, MetTarget, SchoolCode, SchoolName, StudentGroup, Target",11
43,2020-2021,DaysAbsent,"Abs_0, Abs_1-5, Abs_11-15, Abs_6-10, Abs_over15, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName",11
44,2020-2021,ChronicAbsenteeismByGrade,"CountyCode, CountyName, DistrictCode, DistrictName, Grade, SchoolCode, SchoolName, SchoolPercent",8
45,2020-2021,ViolenceVandalismHIBSubstanceOf,"CountyCode, CountyName, DistrictCode, DistrictName, Harassment, Intimidation, Bullying (HIB), Incidents Per 100 Students Enrolled, SchoolCode, SchoolName, Substances, Total Unique Incidents, Vandalism, Violence, Weapons",13
46,2020-2021,PoliceNotifications,"CountyCode, CountyName, DistrictCode, DistrictName, Harassment, Intimidation, Bullying (HIB), Other Incidents, SchoolCode, SchoolName, Substances, Vandalism, Violence, Weapons",12
47,2020-2021,HIBInvestigations,"CountyCode, CountyName, DistrictCode, DistrictName, HIBAlleged, HIBConfirmed, HIBNature, SchoolCode, SchoolName, TotalHIBInvestigations",10
48,2020-2021,DisciplinaryRemovals,"AnySusp_Count, AnySusp_Pct, Arrest_Count, Arrest_Pct, CountyCode, CountyName, DistrictCode, DistrictName, Expulsion_Count, Expulsion_Pct, InSchool_Count, InSchool_Pct, OutofSchool_Count, OutofSchool_Pct, Removal_Count, Removal_Pct, SchoolCode, SchoolDaysMissed_OSS, SchoolName",19
49,2020-2021,SchoolDay,"CountyCode, CountyName, DistrictCode, DistrictName, InstructionFullTime, InstructionSharedTime, LengthOfDay, SchoolCode, SchoolName, TypicalEndTime, TypicalStartTime",11
50,2020-2021,DeviceRatios,"CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, StudentDeviceRatio",7
51,2020-2021,TeachersExperience,"CountyCode, CountyName, DistrictCode, DistrictName, NumberOfOutOfFieldTeachers, NumberOfOutOfFieldTeachers_State, SchoolCode, SchoolName, TeacherAvgYearsExpInDistrict_School, TeacherAvgYearsExpInDistrict_State, TeacherAvgYearsExp_School, TeacherAvgYearsExp_State, TeacherCount_School, TeacherCount_State, TeacherInDistrict4YearsOrMore_School, TeacherInDistrict4YearsOrMore_State",16
52,2020-2021,AdministratorsExperience,"AdminAvgYearsExpInDistrict_District, AdminAvgYearsExpInDistrict_State, AdminAvgYearsExp_District, AdminAvgYearsExp_State, AdminCount_District, AdminCount_State, AdminInDistrict4YearsOrMore_District, AdminInDistrict4YearsOrMore_State, CountyCode, CountyName, DistrictCode, DistrictName",12
53,2020-2021,StaffCounts,"CountyCode, CountyName, DistrictCode, DistrictName, District_TotalStaffMembers, SchoolCode, SchoolName, School_TotalStaff, StaffCategory, State_TotalStaffMembers",10
54,2020-2021,StudentToStaffRatios,"CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, Student_Admin_District, Student_Admin_School, Student_ChildStudy_District, Student_ChildStudy_School, Student_Counselor_District, Student_Counselor_School, Student_Librarian_District, Student_Librarian_School, Student_Nurse_District, Student_Nurse_School, Student_Teacher_District, Student_Teacher_School, Teacher_Admin_District, Teacher_Admin_School",20
55,2020-2021,TeachersAdminsDemographics,"American Indian or Alaska Native, Asian, Black or African American, CountyCode, CountyName, DistrictCode, DistrictName, Female, Hispanic, Male, Native Hawaiian or Pacific Islander, Non-Binary/Undesignated Gender, SchoolCode, SchoolName, Teachers/Admins/Students, Two or More Races, White",17
56,2020-2021,TeachersAdminsLevelOfEducation,"Bachelors, CountyCode, CountyName, DistrictCode, DistrictName, Doctoral, Masters, SchoolCode, SchoolName, Teachers/Admins",10
57,2020-2021,TeachersAdminsOneYearRetention,"CountyCode, CountyName, DistrictCode, DistrictName, RetentionPct_District, RetentionPct_State, Teachers/Admins",7
58,2020-2021,TeachersBySubjectArea,"%AmericanIndianOrAlaskaNative, %Asian, %BachelorsDegree, %BlackOrAfricanAmerican, %DoctoralDegree, %Female, %Hispanic, %Male, %MastersDegree, %NativeHawaiianOrPacificIslander, %NonBinaryOrUndesignatedGender, %TwoOrMoreRaces, %White, %With4OrMoreYearsExperienceInDistrict, CountyCode, CountyName, DistrictCode, DistrictName, SchoolCode, SchoolName, SubjectArea, TotalNumberOfTeachers",22
59,2020-2021,ESSAAccountabilityStatus,"CategoryOfIdentification, CountyCode, CountyName, DistrictCode, DistrictName, Notes, SchoolCode, SchoolName, StatusForSY, StudentGroupStatus_AmericanIndian, StudentGroupStatus_Asian, StudentGroupStatus_Black, StudentGroupStatus_EL, StudentGroupStatus_EconDis, StudentGroupStatus_Hispanic, StudentGroupStatus_SWD, StudentGroupStatus_TwoorMoreRaces, StudentGroupStatus_White, YearEligibleToExitStatus",19
60,2020-2021,ESSAAccountabilityProgress,"4YearGraduationRate, 5YearGraduationRate, ChronicAbsenteeism, CountyCode, CountyName, DistrictCode, DistrictName, ELA Growth, ELAProficiency, Math Growth, MathProficiency, ProgressTowardEnglishLanguageProficiency, SchoolCode, SchoolName, SchoolYear",15
61,2020-2021,Narrative,"Awards, ClimateNarrative, ClimateSurveyUsed, Clubs, CountyCode, CountyName, Courses, DistrictCode, DistrictName, EarlyChildhood, Facilities, Health, Highlight1, Highlight2, Highlight3, LearningDuringCOVID-19:, Mission, OtherInformation, Parent, Postsecondary, Programs, SchoolCode, SchoolName, SchoolSafety, Sports, SportsNarrative, Staff, Supports, TechnologySTEM, WholsSurveyed",30
